packet_count,byte_count,duration,avg_packet_size,mean_iat,var_iat,dst_ip,label
20,3355,1.21,116,0.063684,0.001963,192.168.1.44,0
38,2411,3.29,112,0.088919,0.001562,192.168.1.33,0
46,3287,4.79,77,0.106444,0.001982,192.168.1.7,0
50,874,1.05,103,0.021429,0.001298,192.168.1.30,0
37,4265,2.92,78,0.081111,0.00137,192.168.1.28,0
34,913,1.43,63,0.043333,0.005104,192.168.1.49,0
9,769,1.83,146,0.22875,0.005843,192.168.1.47,0
16,3493,3.06,115,0.204,0.007149,192.168.1.47,0
25,651,2.53,66,0.105417,0.003225,192.168.1.49,0
45,2831,4.85,111,0.110227,0.00257,192.168.1.10,0
42,4449,3.13,148,0.076341,0.003197,192.168.1.33,0
42,726,3.7,98,0.090244,0.007361,192.168.1.45,0
34,516,0.51,148,0.015455,0.007336,192.168.1.2,0
36,4670,1.77,64,0.050571,0.000907,192.168.1.4,0
32,1213,1.11,97,0.035806,0.005144,192.168.1.20,0
5,516,2.53,46,0.6325,0.001699,192.168.1.4,0
34,3692,1.4,81,0.042424,0.000661,192.168.1.44,0
50,480,2.42,90,0.049388,0.00568,192.168.1.50,0
15,1650,4.2,108,0.3,0.00027,192.168.1.45,0
32,3198,2.63,105,0.084839,0.000684,192.168.1.36,0
26,3555,2.5,40,0.1,0.008904,192.168.1.47,0
24,2720,4.61,75,0.200435,0.005345,192.168.1.36,0
22,343,1.38,112,0.065714,0.007849,192.168.1.12,0
7,4781,0.62,72,0.103333,0.00724,192.168.1.11,0
29,3219,2.36,140,0.084286,0.00738,192.168.1.4,0
41,697,0.58,42,0.0145,0.008714,192.168.1.29,0
46,3377,0.57,70,0.012667,0.001889,192.168.1.32,0
12,2533,1.61,58,0.146364,0.004004,192.168.1.7,0
161,6694,0.25,54,0.002631,9.7e-05,192.168.1.21,1
25,3635,1.65,60,0.06875,0.002058,192.168.1.9,0
41,2515,0.99,77,0.02475,0.002749,192.168.1.32,0
28,2443,2.17,143,0.08037,0.001227,192.168.1.11,0
48,2447,3.35,78,0.071277,0.005235,192.168.1.38,0
24,4081,2.38,94,0.103478,0.001396,192.168.1.41,0
23,2975,4.56,82,0.207273,0.006363,192.168.1.26,0
17,3942,3.96,120,0.2475,0.008215,192.168.1.50,0
22,3191,1.23,96,0.058571,0.001688,192.168.1.10,0
49,1577,2.76,126,0.0575,0.00965,192.168.1.34,0
35,2508,1.03,64,0.030294,0.003033,192.168.1.36,0
41,2017,0.28,133,0.007,0.003569,192.168.1.46,0
23,2584,1.4,108,0.063636,0.004131,192.168.1.19,0
28,714,2.13,83,0.078889,0.002298,192.168.1.29,0
32,4128,2.0,83,0.064516,0.006417,192.168.1.19,0
17,4401,4.32,115,0.27,0.002334,192.168.1.27,0
16,471,4.72,80,0.314667,0.006545,192.168.1.47,0
18,1691,0.42,149,0.024706,0.009843,192.168.1.37,0
5,2869,2.4,53,0.6,0.006707,192.168.1.30,0
47,3636,3.19,50,0.069348,0.006161,192.168.1.44,0
48,2331,1.57,120,0.033404,0.005036,192.168.1.20,0
39,2778,2.57,130,0.067632,0.003133,192.168.1.29,0
32,3077,1.84,130,0.059355,0.003273,192.168.1.33,0
47,4565,2.89,107,0.062826,0.003037,192.168.1.18,0
50,2458,1.53,41,0.031224,0.004294,192.168.1.12,0
17,3206,0.13,44,0.008125,0.004637,192.168.1.36,0
12,2378,0.46,56,0.041818,0.006124,192.168.1.43,0
49,1782,3.89,147,0.081042,0.008305,192.168.1.50,0
9,4380,3.39,52,0.42375,0.003829,192.168.1.48,0
45,332,2.09,56,0.0475,0.008944,192.168.1.37,0
18,503,1.33,106,0.078235,0.000465,192.168.1.41,0
23,446,2.76,111,0.125455,0.008126,192.168.1.42,0
440,5618,0.82,42,0.002122,1e-06,192.168.1.181,1
43,4225,4.99,114,0.11881,0.006565,192.168.1.34,0
26,2380,4.84,98,0.1936,0.008663,192.168.1.33,0
41,3372,3.51,73,0.08775,0.004624,192.168.1.37,0
29,2091,3.36,100,0.12,0.008559,192.168.1.30,0
46,382,2.81,44,0.062444,0.005337,192.168.1.10,0
22,4580,1.26,43,0.06,0.001484,192.168.1.10,0
218,4626,0.82,64,0.00463,8.5e-05,192.168.1.119,1
19,704,3.37,138,0.187222,0.007441,192.168.1.45,0
23,4582,3.19,51,0.145,0.009793,192.168.1.45,0
5,3971,3.07,133,0.7675,0.009251,192.168.1.4,0
40,3345,3.39,143,0.086923,0.00133,192.168.1.45,0
31,1453,2.49,107,0.083,0.006826,192.168.1.44,0
32,2314,1.21,127,0.039032,0.008478,192.168.1.30,0
49,742,1.9,112,0.039583,0.009258,192.168.1.9,0
10,2487,2.55,138,0.283333,0.009728,192.168.1.10,0
27,3338,2.72,51,0.104615,0.006733,192.168.1.30,0
27,1378,1.75,124,0.067308,0.000472,192.168.1.13,0
5870,1334616,0.98,119,0.000225,9e-06,192.168.1.100,1
39,1315,1.59,99,0.041842,0.005967,192.168.1.43,0
50,1957,0.69,78,0.014082,0.002084,192.168.1.34,0
41,4772,4.96,40,0.124,0.002895,192.168.1.3,0
